,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_ID,Bowler,Player_ID
45,5,0,21,0,4.2,-,-,v England,Birmingham,24-Jun-16,ODI # 3753,Suranga Lakmal,49619
46,2,0,8,1,4,8,12,v England,Bristol,26-Jun-16,ODI # 3755,Suranga Lakmal,49619
47,7,0,48,1,6.85,48,42,v England,The Oval,29-Jun-16,ODI # 3757,Suranga Lakmal,49619
48,10,0,65,1,6.5,65,60,v England,Cardiff,02-Jul-16,ODI # 3758,Suranga Lakmal,49619
49,8,1,30,0,3.75,-,-,v Australia,Pallekele,04-Sep-16,ODI # 3776,Suranga Lakmal,49619
50,7,0,19,2,2.71,9.5,21,v Zimbabwe,Harare,14-Nov-16,ODI # 3804,Suranga Lakmal,49619
51,9.2,1,45,2,4.82,22.5,28,v West Indies,Harare,16-Nov-16,ODI # 3805,Suranga Lakmal,49619
52,4,1,14,0,3.5,-,-,v Zimbabwe,Bulawayo,21-Nov-16,ODI # 3807,Suranga Lakmal,49619
53,10,0,67,2,6.7,33.5,30,v West Indies,Bulawayo,23-Nov-16,ODI # 3808,Suranga Lakmal,49619
54,6,0,23,1,3.83,23,36,v Zimbabwe,Bulawayo,27-Nov-16,ODI # 3810,Suranga Lakmal,49619
55,6,1,29,0,4.83,-,-,v South Africa,Port Elizabeth,28-Jan-17,ODI # 3828,Suranga Lakmal,49619
56,7,0,54,2,7.71,27,21,v South Africa,Durban,01-Feb-17,ODI # 3830,Suranga Lakmal,49619
57,6,1,23,0,3.83,-,-,v South Africa,Johannesburg,04-Feb-17,ODI # 3831,Suranga Lakmal,49619
58,10,0,71,3,7.1,23.66,20,v South Africa,Centurion,10-Feb-17,ODI # 3834,Suranga Lakmal,49619
59,8,0,45,2,5.62,22.5,24,v Bangladesh,Dambulla,25-Mar-17,ODI # 3855,Suranga Lakmal,49619
61,8,0,38,2,4.75,19,24,v Bangladesh,Colombo (SSC),01-Apr-17,ODI # 3858,Suranga Lakmal,49619
62,10,0,51,1,5.1,51,60,v South Africa,The Oval,03-Jun-17,ODI # 3877,Suranga Lakmal,49619
63,10,1,72,1,7.2,72,60,v India,The Oval,08-Jun-17,ODI # 3882,Suranga Lakmal,49619
64,10,0,48,1,4.8,48,60,v Pakistan,Cardiff,12-Jun-17,ODI # 3888,Suranga Lakmal,49619
65,10,0,47,2,4.7,23.5,30,v Pakistan,Dubai (DSC),13-Oct-17,ODI # 3922,Suranga Lakmal,49619
66,10,0,42,1,4.2,42,60,v Pakistan,Abu Dhabi,16-Oct-17,ODI # 3924,Suranga Lakmal,49619
67,7,0,25,0,3.57,-,-,v Pakistan,Sharjah,20-Oct-17,ODI # 3927,Suranga Lakmal,49619
68,10,4,13,4,1.3,3.25,15,v India,Dharamsala,10-Dec-17,ODI # 3939,Suranga Lakmal,49619
69,8,0,71,0,8.87,-,-,v India,Mohali,13-Dec-17,ODI # 3941,Suranga Lakmal,49619
70,5,2,20,0,4,-,-,v India,Visakhapatnam,17-Dec-17,ODI # 3942,Suranga Lakmal,49619
71,10,0,70,1,7,70,60,v Zimbabwe,Dhaka,17-Jan-18,ODI # 3955,Suranga Lakmal,49619
72,9,0,60,0,6.66,-,-,v Bangladesh,Dhaka,19-Jan-18,ODI # 3959,Suranga Lakmal,49619
73,7,0,23,0,3.28,-,-,v Zimbabwe,Dhaka,21-Jan-18,ODI # 3962,Suranga Lakmal,49619
74,7,1,21,3,3,7,14,v Bangladesh,Dhaka,25-Jan-18,ODI # 3965,Suranga Lakmal,49619
75,9,2,29,0,3.22,-,-,v Bangladesh,Dhaka,27-Jan-18,ODI # 3967,Suranga Lakmal,49619
76,6,0,37,1,6.16,37,36,v South Africa,Dambulla,29-Jul-18,ODI # 4025,Suranga Lakmal,49619
77,7,0,39,1,5.57,39,42,v South Africa,Dambulla,01-Aug-18,ODI # 4027,Suranga Lakmal,49619
78,9,1,59,0,6.55,-,-,v South Africa,Pallekele,05-Aug-18,ODI # 4029,Suranga Lakmal,49619
79,5,0,46,3,9.2,15.33,10,v South Africa,Pallekele,08-Aug-18,ODI # 4030,Suranga Lakmal,49619
80,4,0,22,1,5.5,22,24,v South Africa,Colombo (RPS),12-Aug-18,ODI # 4031,Suranga Lakmal,49619
81,10,0,46,1,4.6,46,60,v Bangladesh,Dubai (DSC),15-Sep-18,ODI # 4036,Suranga Lakmal,49619
82,9,0,83,1,9.22,83,54,v India,Guwahati,21-Oct-18,ODI # 4056,Oshane Thomas,914567
83,4,0,33,1,8.25,33,24,v India,Thiruvananthapuram,01-Nov-18,ODI # 4064,Oshane Thomas,914567
84,5,0,34,1,6.8,34,30,v Bangladesh,Dhaka,09-Dec-18,ODI # 4071,Oshane Thomas,914567
85,10,0,54,3,5.4,18,20,v Bangladesh,Dhaka,11-Dec-18,ODI # 4072,Oshane Thomas,914567
86,9,0,72,1,8,72,54,v England,Bridgetown,20-Feb-19,ODI # 4096,Oshane Thomas,914567
87,5,0,32,1,6.4,32,30,v England,Bridgetown,22-Feb-19,ODI # 4097,Oshane Thomas,914567
89,10,0,84,2,8.4,42,30,v England,St George's,27-Feb-19,ODI # 4099,Oshane Thomas,914567
90,5.1,0,21,5,4.06,4.2,6.2,v England,Gros Islet,02-Mar-19,ODI # 4103,Oshane Thomas,914567
91,10,2,37,1,3.7,37,60,v Ireland,Mohali,11-Mar-11,ODI # 3126,Andre Russell,276298
92,8,0,49,4,6.12,12.25,12,v England,Chennai,17-Mar-11,ODI # 3135,Andre Russell,276298
93,9.1,1,46,2,5.01,23,27.5,v India,Chennai,20-Mar-11,ODI # 3141,Andre Russell,276298
94,5,1,36,0,7.2,-,-,v Pakistan,Gros Islet,23-Apr-11,ODI # 3152,Andre Russell,276298
95,4,0,23,0,5.75,-,-,v Pakistan,Bridgetown,28-Apr-11,ODI # 3154,Andre Russell,276298
96,9,0,59,1,6.55,59,54,v India,North Sound,11-Jun-11,ODI # 3161,Andre Russell,276298
97,7,0,16,3,2.28,5.33,14,v India,North Sound,13-Jun-11,ODI # 3162,Andre Russell,276298
98,8.3,0,35,4,4.11,8.75,12.7,v India,Kingston,16-Jun-11,ODI # 3163,Andre Russell,276298
99,9,0,44,2,4.88,22,27,v Bangladesh,Dhaka,13-Oct-11,ODI # 3198,Andre Russell,276298
100,9,1,50,1,5.55,50,54,v Bangladesh,Dhaka,15-Oct-11,ODI # 3200,Andre Russell,276298
